Codigo Inventario,Registro Contable,Fecha Movimiento,Cod. Almacén,Nom. Almacen,Cod. Producto,Nombre Producto,Cod. Comercial,Codigo Unidad Medida,Nombre Unidad Medida,Clase,Sub Clase,Sub Sub Clase,Marca,Temporada,Tipo Operacion,Nombre Tipo Operacion,Cod. Ref,Cod. Tipo Documento,Tipo Documento,Nro. Serie,Nro. Documento,Cod. Doc. Final,Nro. Serie Doc. Final,Nro. Doc. Final,Movimiento,Unid. Medida Registro,Cantidad,Factor,Unidad Medida Base,Cantidad Entrada,Costo Entrada,Total Entrada,Cantidad Salida,Costo Salida,Total Salida,Saldo Cantidad,Saldo Costo,Saldo Total,U.M. Sin Convertir,Cantidad Sin Convertir,Cantidad Secundaria Entrada,Cantidad Secundaria Salida,Saldo Cantidad Secundaria,Tipo Existencia,Nombre Existencia,Cod. Centro Costos,Nombre Centro Costos,Cod. Sub Centro Costos,Nombre Sub Centro Costos,Cod. Sub Sub Centro Costos,Nombre Sub Sub Centro Costos,Magen Venta,Numero de Documento Auxiliar,Nombre Auxiliar
INV000247033,INS6_LD04-00011,2025-04-03 08:04:03.187000,A04,ALMACEN CHALAN REAL,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,17,1,Unidades,17,19.82273,336.98641,0,0,0,45.199,19.822773003827518,895.969517,UND,17,0,0,0,01,MERCADERÍA,01010101,GENERAL,01010101,GENERAL,01010101,GENERAL,0,,
INV000300553,INPR_LD04-00733,2025-04-03 09:30:00,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,54,P TERMINADO CREMOLADAS,,  ,,,,,,,Entrada,UND,51,1,Unidades,51,16.5897464,846.077066,0,0,0,215,18.334399758139533,3941.895948,,,0,0,0,01,MERCADERÍA,07,FABRICA,0701,CREMOLADAS,070106,COSTO DE COMPRAS,0,,
INV000301307,INPR_LD04-00887,2025-04-03 15:43:00,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,10,1,Unidades,0,0,0,10,17.58503,175.8503,205,18.370954380487802,3766.045648,UND,10,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,20102351038,EL CHALAN SAC
INV000301307,INPR_LD04-00887,2025-04-03 15:43:00,A05,ALMACEN CHALAN OPEN,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,10,1,Unidades,10,19.82273,198.2273,0,0,0,28.596,19.822811162400335,566.853108,UND,10,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,20102351038,EL CHALAN SAC
INV000306650,INS6_LD04-00278,2025-04-03 17:51:00,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,7,1,Unidades,0,0,0,7,17.696915,123.878405,198,18.394784055555554,3642.167243,UND,7,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,,
INV000306650,INS6_LD04-00278,2025-04-03 17:51:00,A15,ALMACEN MANCORA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,7,1,Unidades,7,19.82273,138.75911,0,0,0,8.225,19.82273300911854,163.041979,UND,7,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,,
INV000287063,INPR_LD04-00156,2025-04-04 01:24:00,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,4,1,Unidades,0,0,0,4,17.758983,71.035932,194,18.407893355670105,3571.131311,UND,4,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,,
INV000287063,INPR_LD04-00156,2025-04-04 01:24:00,A05,ALMACEN CHALAN OPEN,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,4,1,Unidades,4,19.82273,79.29092,0,0,0,32.596,19.82280120260155,646.144028,UND,4,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,,
INV000247074,INS6_LD04-00016,2025-04-04 08:04:24.133000,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,11,1,Unidades,0,0,0,11,17.91663,197.08293,183,18.437422846994536,3374.048381,UND,11,0,0,0,01,MERCADERÍA,01010101,GENERAL,01010101,GENERAL,01010101,GENERAL,0,,
INV000247074,INS6_LD04-00016,2025-04-04 08:04:24.133000,A02,ALMACEN CHALAN PLAZA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,11,1,Unidades,11,19.82273,218.05003,0,0,0,41.022,19.822735361513335,813.16825,UND,11,0,0,0,01,MERCADERÍA,01010101,GENERAL,01010101,GENERAL,01010101,GENERAL,0,,
